 x,y,count,probability
12,2,0, 1/150
11,1,0, 1/150
10,5,2, 5/150
10,9,2, 8/150
14,4,0, 1/150
 3,7,3, 8/150
 6,9,0, 1/150
 3,7,3, 8/150
12,1,1, 5/150   
13,1,2, 5/150
14,1,2, 5/150
15,1,3, 5/150
15,2,3, 5/150
12,1,1, 5/150                
13,1,2, 5/150
14,1,2, 5/150
15,1,3, 5/150
15,2,3, 5/150
 9,4,2, 5/150
 9,3,1, 5/150
10,4,3, 5/150
10,3,2, 5/150
10,0,3, 8/150
 9,0,2, 8/150
 9,9,1, 8/150
 9,8,1, 8/150
10,8,3, 8/150
 8,8,2, 8/150
 8,7,3, 8/150
15,4,2, 2/150
13,4,2, 1/150
15,5,3, 2/150
 3,8,2, 8/150
 4,8,1, 8/150
 2,7,2, 8/150
 4,7,3, 8/150
 3,6,3, 8/150
 4,6,1, 8/150
 5,6,3, 8/150
 3,8,2, 8/150      
 4,8,1, 8/150      
 2,7,2, 8/150      
 4,7,3, 8/150      
 3,6,3, 8/150      
 4,6,1, 8/150      
 5,6,3, 8/150      